room,game,hand,won,player0_preflop_fold,player0_flop_fold,player0_turn_fold,player0_river_fold,player0_bet,player0_preflop_bet,player0_flop_bet,player0_turn_bet,player0_river_bet,opponent_preflop_bets,opponent_flop_bets,opponent_turn_bets,opponent_river_bets,opponent_bet,starthandstrategy,flop_hand,turn_hand,river_hand
Halley,1,80,1,0,0,0,0,4.0,1.5,1.5,4.0,4.0,6.5,8.0,16.999999999999996,21.0,21.0,Fold,High Card,Pair,Pair
Halley,1,87,1,0,0,0,0,34.0,2.0,6.0,34.0,34.0,3.0,17.0,107.0,141.0,141.0,Fold,Two Pair,Two Pair,Two Pair
Halley,1,95,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Call,,,
Halley,1,97,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,9.0,12.0,12.0,4-Bet,,,
Halley,1,100,1,0,0,0,0,8.5,1.5,1.5,8.5,8.5,4.0,5.5,28.000000000000004,36.50000000000001,36.50000000000001,Call,Pair,Three of a Kind,Three of a Kind
Halley,1,111,0,0,0,0,0,74.5,2.0,5.500000000000001,74.5,74.5,3.0,15.500000000000002,227.99999999999997,302.5,302.5,4-Bet,Pair,Pair,Pair
Halley,2,1,0,0,1,0,0,2.0,2.0,2.0,2.0,2.0,5.0,10.0,12.0,14.000000000000002,14.000000000000002,Call,Pair,,
Halley,2,2,0,0,1,0,0,2.0,2.0,2.0,2.0,2.0,6.0,12.5,14.499999999999998,16.499999999999996,16.499999999999996,Fold,Pair,,
Halley,2,5,0,1,0,0,0,2.0,2.0,2.0,2.0,2.0,88.5,90.5,92.5,94.5,94.5,Call,,,
Halley,2,10,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Fold,,,
Halley,2,11,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,9.0,12.0,12.0,Call,,,
Halley,2,17,0,0,0,0,0,10.5,3.0,6.5,6.5,10.5,6.0,19.5,26.0,44.49999999999999,44.49999999999999,Call,High Card,High Card,High Card
Halley,2,18,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Fold,,,
Halley,2,19,0,0,1,0,0,1.5,1.5,1.5,1.5,1.5,4.0,8.499999999999998,9.999999999999998,11.499999999999998,11.499999999999998,Fold,High Card,,
Halley,2,26,1,0,0,0,0,4.0,2.0,4.0,4.0,4.0,3.0,9.0,13.0,17.0,17.0,Fold,High Card,,
Halley,2,29,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,9.0,12.0,12.0,Call,,,
Halley,2,37,1,0,0,0,0,18.5,18.5,18.5,18.5,18.5,37.0,55.49999999999999,74.0,92.5,92.5,Call,Three of a Kind,Full House,Full House
Halley,2,44,0,0,1,0,0,2.0,2.0,2.0,2.0,2.0,6.0,11.5,13.5,15.5,15.5,Call,Pair,,
Halley,2,45,0,1,0,0,0,2.0,2.0,2.0,2.0,2.0,12.0,14.000000000000002,16.0,18.0,18.0,Call,,,
Halley,2,46,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,9.0,12.0,12.0,Call,,,
Halley,2,54,0,0,1,0,0,1.5,1.5,1.5,1.5,1.5,4.0,8.499999999999998,9.999999999999998,11.499999999999998,11.499999999999998,Fold,High Card,,
Halley,2,55,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,9.0,12.0,12.0,Call,,,
Halley,2,58,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Fold,,,
Halley,2,65,1,0,0,0,0,11.5,3.0,11.5,11.5,11.5,7.5,44.50000000000001,56.00000000000001,67.5,67.5,Call,Two Pair,Two Pair,Two Pair
Halley,2,67,1,0,0,0,0,14.000000000000002,2.0,2.0,5.0,14.000000000000002,4.5,6.5,17.5,49.5,49.5,Call,Pair,Pair,Flush
Halley,2,70,0,1,0,0,0,2.0,2.0,2.0,2.0,2.0,10.0,12.0,14.000000000000002,16.0,16.0,Call,,,
Halley,2,74,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Fold,,,
Halley,2,79,1,0,0,0,0,22.5,1.0,2.5,2.5,22.5,3.0,8.5,11.000000000000002,73.50000000000001,73.50000000000001,Fold,Pair,Pair,Two Pair
Halley,3,1,0,0,1,0,0,2.0,2.0,2.0,2.0,2.0,5.0,8.5,10.5,12.5,12.5,Fold,High Card,,
Halley,3,2,1,0,0,0,0,4.0,2.0,4.0,4.0,4.0,3.0,11.000000000000002,15.000000000000002,19.000000000000004,19.000000000000004,Call,Pair,Pair,Pair
Halley,3,5,0,0,0,0,0,9.5,3.0,5.5,5.5,9.5,6.0,16.499999999999996,21.999999999999996,39.49999999999999,39.49999999999999,Call,Pair,Pair,Pair
Halley,3,6,0,1,0,0,0,2.5,2.5,2.5,2.5,2.5,16.0,18.5,21.0,23.499999999999996,23.499999999999996,Fold,,,
Halley,3,9,1,0,0,0,0,9.5,1.5,1.5,4.5,9.5,4.5,6.0,16.5,36.0,36.0,Fold,Pair,Pair,Two Pair
Halley,3,10,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Call,,,
Halley,3,13,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,3.0,5.5,6.5,7.5,7.5,Fold,High Card,,
Halley,3,14,0,0,1,0,0,3.0,3.0,3.0,3.0,3.0,9.0,200.49999999999997,203.49999999999997,206.49999999999994,206.49999999999994,Fold,Pair,Pair,Three of a Kind
Halley,3,17,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Call,,,
Halley,3,19,1,0,0,0,0,18.5,2.0,5.500000000000001,5.500000000000001,18.5,5.0,17.5,23.000000000000004,54.5,54.5,Fold,High Card,Pair,Flush
Halley,3,25,1,0,0,0,0,87.0,3.0,12.0,87.0,87.0,6.0,36.0,273.0,360.0,360.0,Call,Pair,Pair,Two Pair
Halley,3,26,0,0,1,0,0,2.0,2.0,2.0,2.0,2.0,5.0,10.5,12.5,14.499999999999998,14.499999999999998,Fold,High Card,,
Halley,3,28,1,0,0,0,0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,6.0,8.0,8.0,Fold,High Card,,
Halley,4,2,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,4.5,6.5,8.5,10.5,10.5,Fold,Two Pair,Two Pair,Two Pair
Halley,4,4,0,0,0,0,0,8.0,2.0,4.0,4.0,8.0,3.0,11.000000000000002,15.000000000000002,31.0,31.0,Fold,Pair,Pair,Pair
Halley,4,6,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Call,,,
Halley,4,8,0,0,1,0,0,1.5,1.5,1.5,1.5,1.5,4.0,7.5,9.0,10.5,10.5,Fold,High Card,,
Halley,4,9,0,0,1,0,0,9.0,9.0,9.0,9.0,9.0,18.0,44.5,53.5,62.5,62.5,Call,High Card,,
Halley,4,10,0,0,1,0,0,3.0,3.0,3.0,3.0,3.0,6.0,12.5,15.5,18.5,18.5,Call,Pair,,
Halley,4,14,0,1,0,0,0,2.0,2.0,2.0,2.0,2.0,34.00000000000001,53.000000000000014,55.000000000000014,57.000000000000014,57.000000000000014,Fold,High Card,,
Halley,4,15,0,1,0,0,0,2.0,2.0,2.0,2.0,2.0,25.5,27.5,29.500000000000004,31.500000000000004,31.500000000000004,Call,,,
Halley,4,16,0,0,0,1,0,2.0,2.0,2.0,2.0,2.0,3.5000000000000004,5.500000000000001,10.0,12.0,12.0,Call,High Card,High Card,
Halley,4,22,1,0,0,0,0,1.5,0.5,1.5,1.5,1.5,0.5,3.0,4.5,6.0,6.0,Fold,Pair,,
Halley,4,23,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Call,,,
Halley,4,24,0,0,1,0,0,2.0,2.0,2.0,2.0,2.0,7.500000000000001,18.5,20.5,22.499999999999996,22.499999999999996,Call,Pair,Pair,Flush
Halley,4,25,0,0,0,0,0,56.49999999999999,15.0,56.49999999999999,56.49999999999999,56.49999999999999,39.99999999999999,179.5,235.99999999999997,292.5,292.5,Call,Pair,Two Pair,Two Pair
Halley,5,6,1,0,0,0,0,81.0,2.0,6.0,27.0,81.0,5.0,19.0,88.0,223.0,223.0,Call,Pair,Two Pair,Two Pair
Halley,5,8,0,1,0,0,0,2.0,2.0,2.0,2.0,2.0,14.500000000000002,16.5,18.5,20.5,20.5,Call,,,
Halley,5,9,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Fold,,,
Halley,5,11,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,7.000000000000001,7.000000000000001,Fold,High Card,,
Halley,5,15,0,0,0,0,1,4.0,2.0,4.0,4.0,4.0,3.0,11.000000000000002,15.000000000000002,23.500000000000004,23.500000000000004,Call,Pair,Pair,Pair
Halley,6,1,1,0,0,0,0,66.0,66.0,66.0,66.0,66.0,68.0,134.0,200.0,266.0,266.0,3-Bet,,,
Halley,6,6,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,6.5,8.0,9.5,11.0,11.0,Call,Pair,Pair,Pair
Halley,6,7,1,0,0,0,0,6.5,2.0,6.5,6.5,6.5,3.0,14.000000000000002,20.5,27.0,27.0,Fold,High Card,,
Halley,6,9,0,0,0,0,0,3.5000000000000004,1.5,3.5000000000000004,3.5000000000000004,3.5000000000000004,4.5,14.000000000000002,17.5,21.0,21.0,Call,High Card,High Card,Pair
Halley,6,15,0,0,0,0,0,10.5,2.0,4.0,4.0,10.5,3.5000000000000004,11.500000000000002,15.500000000000002,39.0,39.0,Call,Pair,Two Pair,Two Pair
Halley,6,18,1,0,0,0,0,12.5,1.5,12.5,12.5,12.5,6.5,34.5,46.99999999999999,59.49999999999999,59.49999999999999,Fold,Three of a Kind,,
Halley,6,22,1,0,0,0,0,62.5,3.0,62.5,62.5,62.5,9.0,135.0,197.5,260.0,260.0,Call,Three of a Kind,,
Halley,6,23,0,1,0,0,0,2.0,2.0,2.0,2.0,2.0,13.5,15.5,17.5,19.499999999999996,19.499999999999996,Call,,,
Halley,6,24,1,0,0,0,0,8.5,2.0,5.500000000000001,5.500000000000001,8.5,5.0,17.5,23.000000000000004,37.50000000000001,37.50000000000001,Call,Two Pair,Two Pair,Two Pair
Halley,6,25,0,0,0,0,0,4.0,2.0,2.0,2.0,4.0,7.500000000000001,9.500000000000002,11.500000000000002,19.5,19.5,Call,Pair,Pair,Pair
Halley,6,27,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,9.0,12.0,12.0,4-Bet,,,
Halley,6,32,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,5.0,7.000000000000001,9.0,11.000000000000002,11.000000000000002,Call,Pair,Pair,Two Pair
Halley,6,33,1,0,0,0,0,17.0,1.5,4.5,13.0,17.0,4.5,15.0,45.00000000000001,66.00000000000001,66.00000000000001,Call,High Card,Flush,Flush
Halley,6,35,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,3.0,36.5,37.5,38.5,38.5,Call,High Card,,
Halley,6,36,1,0,0,0,0,12.5,1.5,4.5,12.5,12.5,6.5,17.0,45.50000000000001,58.00000000000001,58.00000000000001,Call,Pair,Pair,Pair
Halley,6,37,1,0,0,0,0,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,7.000000000000001,10.5,14.000000000000002,14.000000000000002,Fold,,,
Halley,6,39,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,9.0,19.0,24.0,28.999999999999996,28.999999999999996,Fold,High Card,,
Halley,7,1,1,0,0,0,0,5.0,1.0,1.0,3.0,5.0,3.0,4.0,11.000000000000002,18.0,18.0,Call,Pair,Pair,Pair
Halley,7,9,0,0,1,0,0,4.0,2.0,4.0,4.0,4.0,5.0,27.5,31.5,35.5,35.5,Call,Pair,,
Halley,7,15,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Call,,,
Halley,7,18,0,0,0,0,0,12.5,1.0,2.5,12.5,12.5,3.0,8.5,41.0,53.5,53.5,Fold,Pair,Pair,Pair
Halley,7,19,0,0,1,0,0,3.0,3.0,3.0,3.0,3.0,6.0,13.5,16.5,19.5,19.5,Call,High Card,,
Halley,7,21,0,0,0,1,0,3.0,3.0,3.0,3.0,3.0,5.0,8.0,15.5,18.5,18.5,Call,High Card,High Card,
Halley,7,23,1,0,0,0,0,17.5,1.5,17.5,17.5,17.5,4.0,41.0,58.49999999999999,76.0,76.0,Call,High Card,,
Halley,7,31,0,0,0,1,0,1.5,1.5,1.5,1.5,1.5,4.0,5.5,15.500000000000002,17.000000000000004,17.000000000000004,Fold,High Card,Pair,
Halley,7,37,0,0,0,0,0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,13.0,17.0,17.0,Call,High Card,High Card,Pair
Halley,7,39,1,0,0,0,0,4.5,1.0,4.5,4.5,4.5,2.0,17.0,21.500000000000004,26.0,26.0,Call,Pair,Pair,Pair
Halley,7,46,1,0,0,0,0,4.0,2.0,2.0,2.0,4.0,4.5,6.5,8.5,14.499999999999998,14.499999999999998,Call,Pair,Pair,Pair
Halley,7,60,1,0,0,0,0,13.0,2.0,6.0,9.0,13.0,4.0,18.0,33.00000000000001,54.000000000000014,54.000000000000014,Call,Pair,Pair,Pair
Halley,7,66,1,0,0,0,0,4.0,2.0,4.0,4.0,4.0,3.0,9.0,13.0,17.0,17.0,Call,Pair,,
Halley,7,68,0,0,0,1,0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,9.0,11.000000000000002,11.000000000000002,Fold,High Card,Pair,
Halley,7,70,1,0,0,0,0,71.5,2.5,4.5,12.5,71.5,5.0,13.5,42.0,261.5,261.5,Fold,Pair,Two Pair,Full House
Halley,7,76,1,0,0,0,0,10.0,2.5,2.5,10.0,10.0,6.5,9.0,41.5,51.5,51.5,Fold,High Card,High Card,Flush
Halley,7,79,0,0,0,0,1,4.0,2.0,2.0,4.0,4.0,4.0,6.0,14.000000000000002,24.0,24.0,Fold,High Card,High Card,High Card
Halley,7,85,1,0,0,0,0,3.0,1.0,1.0,3.0,3.0,5.0,6.0,11.0,14.000000000000002,14.000000000000002,Fold,High Card,Pair,
Halley,7,90,1,0,0,0,0,86.00000000000001,2.5,2.5,7.500000000000001,86.00000000000001,7.000000000000001,9.5,27.0,191.5,191.5,Call,Pair,Pair,Two Pair
Halley,7,92,0,0,0,0,0,4.0,2.0,2.0,2.0,4.0,6.0,8.0,10.0,18.0,18.0,Call,Pair,Pair,Pair
Halley,7,97,0,0,0,1,0,2.0,2.0,2.0,2.0,2.0,5.0,7.000000000000001,13.5,15.5,15.5,Call,High Card,High Card,
Halley,7,99,1,0,0,0,0,3.0,2.0,3.0,3.0,3.0,3.0,6.999999999999999,9.999999999999998,13.0,13.0,Call,Pair,,
Halley,7,102,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,7.000000000000001,9.0,9.0,Call,High Card,High Card,High Card
Halley,7,105,1,0,0,0,0,21.0,2.0,6.5,6.5,21.0,4.5,20.0,26.5,62.0,62.0,Call,High Card,High Card,High Card
Halley,7,113,0,0,1,0,0,3.0,3.0,3.0,3.0,3.0,9.0,16.499999999999996,19.499999999999996,22.499999999999996,22.499999999999996,Call,High Card,,
Halley,7,118,0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,16.999999999999996,18.0,19.0,20.0,20.0,Call,,,
Halley,7,125,0,0,1,0,0,2.0,2.0,2.0,2.0,2.0,4.0,9.0,11.0,13.0,13.0,Call,High Card,,
Halley,7,128,0,0,0,0,0,3.5000000000000004,1.5,3.5000000000000004,3.5000000000000004,3.5000000000000004,4.0,11.500000000000002,15.000000000000002,18.500000000000004,18.500000000000004,Call,High Card,High Card,High Card
Halley,7,150,0,0,0,0,0,4.0,2.0,4.0,4.0,4.0,5.500000000000001,13.5,17.5,21.500000000000004,21.500000000000004,Call,Pair,Pair,Pair
Halley,7,152,1,0,0,0,0,75.0,7.000000000000001,75.0,75.0,75.0,14.000000000000002,157.0,232.00000000000003,307.0,307.0,4-Bet,Two Pair,,
Halley,7,154,0,0,0,0,0,16.5,1.5,5.5,16.5,16.5,6.5,20.0,58.49999999999999,75.0,75.0,Fold,Pair,Pair,Two Pair
Halley,7,155,1,0,0,0,0,65.0,7.000000000000001,11.5,65.0,65.0,14.000000000000002,34.5,206.5,271.5,271.5,Call,Pair,Pair,Straight
Donati,8,6,1,0,0,0,0,20.999999999999996,6.999999999999999,6.999999999999999,20.999999999999996,20.999999999999996,20.599999999999994,27.599999999999998,62.599999999999994,83.6,83.6,4-Bet,High Card,High Card,
Donati,8,11,0,0,1,0,0,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,14.999999999999996,30.0,37.0,44.0,44.0,3-Bet,Pair,,
Donati,8,17,0,0,1,0,0,2.0,2.0,2.0,2.0,2.0,5.0,10.0,11.999999999999998,13.999999999999998,13.999999999999998,Fold,High Card,,
Donati,8,18,1,0,0,0,0,73.39999999999999,9.399999999999999,73.39999999999999,73.39999999999999,73.39999999999999,28.199999999999996,165.60000000000002,239.0,312.4,312.4,Fold,Pair,,
Donati,8,19,0,0,0,0,0,40.99999999999999,2.0,10.2,10.2,40.99999999999999,4.3999999999999995,30.999999999999996,41.19999999999999,143.79999999999998,143.79999999999998,Call,Two Pair,Two Pair,Two Pair
Donati,8,20,1,0,0,0,0,50.99999999999999,10.0,50.99999999999999,50.99999999999999,50.99999999999999,20.0,111.99999999999999,162.99999999999997,213.99999999999997,213.99999999999997,3-Bet,Pair,,
Donati,8,24,0,0,0,0,0,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,3.8,5.2,6.6,8.0,8.0,Call,Pair,Pair,Pair
Donati,8,28,0,0,0,0,0,17.4,6.999999999999999,6.999999999999999,17.4,17.4,20.999999999999996,27.999999999999996,66.2,83.6,83.6,Call,High Card,High Card,Pair
Donati,8,30,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.000000000000001,8.0,8.0,Call,,,
Donati,8,32,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.000000000000001,8.0,8.0,Call,,,
Donati,8,34,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.000000000000001,8.0,8.0,Call,,,
Donati,8,40,1,0,0,0,0,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,9.399999999999999,16.4,23.4,30.4,30.4,4-Bet,,,
Donati,8,42,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.000000000000001,8.0,8.0,Call,,,
Donati,8,47,0,0,1,0,0,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,10.4,24.799999999999997,50.0,94.8,94.8,Call,High Card,High Card,High Card
Donati,8,48,1,0,0,0,0,6.199999999999999,2.0,6.199999999999999,6.199999999999999,6.199999999999999,3.0000000000000004,13.4,19.599999999999998,25.8,25.8,Call,Pair,,
Donati,8,51,1,0,0,0,0,24.599999999999998,8.0,8.0,24.599999999999998,24.599999999999998,16.0,24.000000000000004,65.2,89.8,89.8,Call,High Card,High Card,
Donati,8,53,0,0,0,1,0,6.000000000000001,2.6,6.000000000000001,6.000000000000001,6.000000000000001,5.6000000000000005,18.400000000000002,33.6,39.6,39.6,Call,Two Pair,Two Pair,
Donati,8,57,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.000000000000001,8.0,8.0,Call,,,
Donati,8,58,0,0,1,0,0,10.0,10.0,10.0,10.0,10.0,20.0,36.8,46.8,56.8,56.8,Call,High Card,,
Donati,8,68,0,0,0,0,0,22.8,2.0,2.0,2.0,22.8,4.0,6.000000000000001,8.0,72.39999999999999,72.39999999999999,Call,Three of a Kind,Three of a Kind,Three of a Kind
Donati,8,76,1,0,0,0,0,13.0,2.4,13.0,13.0,13.0,4.8,28.4,41.39999999999999,54.39999999999999,54.39999999999999,Call,High Card,,
Donati,8,78,0,0,0,0,1,2.1999999999999997,2.1999999999999997,2.1999999999999997,2.1999999999999997,2.1999999999999997,4.8,6.999999999999999,9.2,14.399999999999999,14.399999999999999,Fold,High Card,High Card,High Card
Donati,8,89,0,0,0,0,0,11.599999999999998,11.599999999999998,11.599999999999998,11.599999999999998,11.599999999999998,25.4,37.0,48.6,60.2,60.2,Fold,High Card,High Card,High Card
Halley,9,1,0,0,0,0,0,2.5,1.0,2.5,2.5,2.5,3.0,8.5,11.000000000000002,13.5,13.5,Call,High Card,High Card,High Card
Halley,9,4,1,0,0,0,0,5.500000000000001,3.5000000000000004,3.5000000000000004,5.500000000000001,5.500000000000001,7.000000000000001,10.5,18.0,23.500000000000004,23.500000000000004,Fold,High Card,High Card,
Halley,9,8,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Fold,,,
Halley,9,17,0,0,0,0,0,99.0,3.0,18.0,56.49999999999999,99.0,10.5,73.5,245.5,503.5,503.5,3-Bet,Pair,Pair,Two Pair
Halley,10,4,1,0,0,0,0,8.0,2.0,2.0,3.0,8.0,4.0,6.0,10.999999999999998,25.0,25.0,Fold,Pair,Pair,Three of a Kind
Halley,10,5,0,0,0,0,0,8.0,1.0,1.0,3.5000000000000004,8.0,3.0,4.0,12.5,29.499999999999996,29.499999999999996,Call,High Card,High Card,Pair
Halley,10,6,0,0,0,1,0,17.5,2.5,17.5,17.5,17.5,7.500000000000001,58.99999999999999,96.99999999999999,114.49999999999997,114.49999999999997,Call,Pair,Pair,
Halley,10,18,1,0,0,0,0,7.000000000000001,1.0,2.0,2.0,7.000000000000001,3.0,7.000000000000001,9.0,21.0,21.0,Fold,High Card,Straight,Straight
Halley,10,20,0,0,1,0,0,2.5,2.5,2.5,2.5,2.5,8.5,18.0,33.0,35.5,35.5,Call,High Card,High Card,
Halley,10,29,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,4.5,9.5,10.5,14.499999999999998,14.499999999999998,Fold,High Card,High Card,Pair
Halley,10,30,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Fold,,,
Halley,10,41,0,0,1,0,0,3.0,3.0,3.0,3.0,3.0,6.0,16.0,19.0,22.0,22.0,4-Bet,High Card,,
Halley,10,43,0,0,1,0,0,2.5,2.5,2.5,2.5,2.5,7.000000000000001,14.500000000000002,17.0,19.5,19.5,Call,High Card,,
Halley,10,44,1,0,0,0,0,66.0,66.0,66.0,66.0,66.0,69.0,135.0,201.00000000000003,267.00000000000006,267.00000000000006,Call,,,
Halley,10,52,0,0,0,0,0,17.0,0.5,1.5,4.0,17.0,0.5,4.0,13.0,56.00000000000001,56.00000000000001,Call,High Card,High Card,High Card
Halley,10,53,1,0,0,0,0,50.0,6.0,12.5,50.0,50.0,12.0,37.5,248.50000000000003,298.5,298.5,Call,Pair,Straight,Straight
Halley,10,54,1,0,0,0,0,3.0,2.0,3.0,3.0,3.0,3.0,6.999999999999999,9.999999999999998,13.0,13.0,Call,High Card,,
Halley,10,57,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,6.0,9.0,12.0,15.0,15.0,Call,Pair,Pair,Two Pair
Halley,10,68,0,0,0,0,0,5.0,2.0,3.0,3.0,5.0,4.5,9.499999999999998,12.499999999999998,21.499999999999996,21.499999999999996,Call,High Card,High Card,High Card
Halley,10,71,1,0,0,0,0,95.0,9.0,9.0,19.0,95.0,18.0,27.0,66.0,237.0,237.0,Fold,High Card,Pair,Pair
Halley,10,75,0,0,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,4.0,4.5,4.999999999999999,4.999999999999999,Call,High Card,,
Halley,10,79,0,0,1,0,0,2.5,2.5,2.5,2.5,2.5,7.000000000000001,17.5,20.0,22.5,22.5,Fold,Pair,Pair,Pair
Halley,10,82,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Fold,,,
Halley,10,84,1,0,0,0,0,7.500000000000001,2.5,7.500000000000001,7.500000000000001,7.500000000000001,5.0,19.499999999999996,27.0,34.5,34.5,Fold,Two Pair,,
